Player,School,Height,Weight,Hand,Arm,Wing,Pos
Drake Maye,North Carolina,76.375,223,9.125,32.25,76.125,QB
J.J. McCarthy,Michigan,74.5,219,9,31.625,75.875,QB
Joe Milton III,Tennessee,77.125,235,10.25,33.375,80,QB
Bo Nix,Oregon,74.125,214,10.125,30.875,74.25,QB
Michael Penix Jr.,Washington,74.25,216,10.5,33.625,81,QB
Michael Pratt,Tulane,74.5,217,9.25,30.75,77,QB
Spencer Rattler,South Carolina,72.25,211,9.875,31,74.75,QB
Austin Reed,Western Kentucky,73.5,220,9.875,30.125,73.375,QB
Kedon Slovis,BYU,74.5,223,9.875,31.125,74.375,QB
Jordan Travis,Florida State,73.125,200,9,31.375,76,QB
Caleb Williams,USC,73.125,214,9.75,32,75.875,QB
Braelon Allen,Wisconsin,73.25,235,9.25,31.25,76.25,RB
Emani Bailey,TCU,67.375,202,9.75,29.875,70.75,RB
Trey Benson,Florida State,72.25,216,9.25,31.5,76.375,RB
Jonathon Brooks,Texas,72.375,216,9.25,31.5,75.875,RB
Blake Corum,Michigan,67.75,205,9,28.875,70.125,RB
Isaiah Davis,South Dakota State,72.25,218,10.25,31.125,74.875,RB
Ray Davis,Kentucky,68.375,211,8.875,30.25,72.25,RB
Daijun Edwards,Georgia,69.625,207,9.5,29.75,71.75,RB
Audric Estime,Notre Dame,71.375,221,10.25,32.375,76.5,RB
Frank Gore Jr.,Southern Miss,67.625,201,8.25,29.625,70.625,RB
Isaac Guerendo,Louisville,72,221,9.25,30.75,74.875,RB
George Holani,Boise State,70.375,208,9.75,29.75,72.375,RB
Bucky Irving,Oregon,69,192,9.5,29.5,70.625,RB
Dillon Johnson,Washington,71.625,217,9.375,30,72.625,RB
Jawhar Jordan,Louisville,69.5,193,8.5,30.125,71,RB
Dylan Laube,New Hampshire,69.875,206,9.25,29.375,71.125,RB
MarShawn Lloyd,USC,68.75,220,8.75,30.375,73.625,RB
Jase McClellan,Alabama,70.375,221,10.25,31.125,75.5,RB
Kendall Milton,Georgia,73.5,225,9.625,31.75,77.5,RB
Keilan Robinson,Texas,68.375,191,9.625,30.625,74.375,RB
Cody Schrader,Missouri,68.5,202,9.125,28.125,68.625,RB
Will Shipley,Clemson,71,206,9.625,30.25,74.125,RB
Jaden Shirden,Monmouth,68,187,9.25,28.75,69.625,RB
Tyrone Tracy Jr.,Purdue,71.125,209,9.125,31.75,76.625,RB
Kimani Vidal,Troy,67.875,213,9.375,30.375,73.25,RB
Michael Wiley,Arizona,70.5,210,9.25,30,74.125,RB
Miyan Williams,Ohio State,68.5,229,9,28.625,69.625,RB
Jaylen Wright,Tennessee,70.5,210,9.375,31.5,75.875,RB
Javon Baker,UCF,73.25,202,9.625,32.25,78.25,WR
Jermaine Burton,Alabama,72.25,196,9.875,31,74.875,WR
Jalen Coker,Holy Cross,73.375,208,9.875,32.875,76.75,WR
Keon Coleman,Florida State,75.25,213,9.375,32.125,78.125,WR
Jacob Cowing,Arizona,68.375,168,9,29.25,69.125,WR
Ryan Flourney,SE Missouri State,72.75,202,10.125,31.625,76.125,WR
Troy Franklin,Oregon,73.875,176,8.75,31.875,77.25,WR
Anthony Gould,Oregon State,68.375,174,8.875,29.625,69.875,WR
Lideatrick Griffin,Mississippi State,70,181,9.125,30.625,72.75,WR
Marvin Harrison Jr.,Ohio State,75.25,209,9.5,31.875,77.25,WR
Jha'Quan Jackson,Tulane,69.125,188,8.875,30.875,74.875,WR
Cornelius Johnson,Michigan,74.75,212,8.625,31.875,77.25,WR
Xavier Legette,South Carolina,73,221,9,31.875,77.5,WR
Luke McCaffrey,Rice,73.625,198,9.625,30.125,74.5,WR
Ladd McConkey,Georgia,71.625,186,8.625,30.25,72,WR
Jalen McMillan,Washington,73,197,10,31.125,77.375,WR
Bub Means,Pittsburgh,73,212,10.125,33.25,79.375,WR
Adonai Mitchell,Texas,73.25,205,9,32.375,77.625,WR
Rome Odunze,Washington,74.875,212,9.25,32.25,76.75,WR
Ricky Pearsall,Florida,73,189,9.25,30.875,73.375,WR
Ja'Lynn Polk,Washington,73.375,203,9.75,31.75,74.5,WR
Brenden Rice,USC,74.375,208,9.625,33,78,WR
Tayvion Robinson,Kentucky,70.5,191,9.25,31,75.25,WR
Marcus Rosemy-Jacksaint,Georgia,73.125,195,10,33,77.75,WR
Ainias Smith,Texas A&M,69.375,190,8.5,29,70.25,WR
Brian Thomas Jr.,LSU,74.875,209,9.75,32.75,79.625,WR
Jamari Thrash,Louisville,71.75,188,8.625,31,74.5,WR
Devaughn Vele,Utah,76,203,9.75,33.5,79.125,WR
Devontez Walker,North Carolina,73.5,193,9.125,33.25,79.125,WR
Malik Washington,Virginia,68.5,191,9.25,30.375,72.875,WR
Tahj Washington,USC,69.75,174,8.375,29.125,70,WR
Xavier Weaver,Colorado,72.25,169,8.875,31.125,73.25,WR
Jordan Whittington,Texas,72.625,205,10,30.375,73.625,WR
Isaiah Williams,Illinois,69.25,182,9.125,30.125,72.75,WR
Johnny Wilson,Florida State,78.375,231,10,35.375,84.5,WR
Roman Wilson,Michigan,70.75,185,9.375,30.375,72.5,WR
Xavier Worthy,Texas,71.25,165,8.75,31.125,74.25,WR
Erick All,Iowa,76.375,252,10.125,33,79,TE
AJ Barner,Michigan,78,251,9,33.375,81.875,TE
Jaheim Bell,Florida State,74,241,10,33,78.75,TE
Brock Bowers,Georgia,75.125,243,9.75,32.75,78.25,TE
Devin Culp,Washington,75.125,231,9.25,32.875,78.5,TE
Dallin Holker,Colorado State,75.375,241,10.25,33.625,78.125,TE
Theo Johnson,Penn State,78.125,259,10.25,33,80.75,TE
Trey Knox,South Carolina,75,240,9.375,34.25,78.75,TE
Tanner McLachlan,Arizona,77.125,244,9.375,31.625,77.25,TE
Tip Reiman,Illinois,76.875,271,10.5,32.875,79.5,TE
Ja'Tavion Sanders,Texas,75.875,245,10.125,32.875,78.25,TE
Ben Sinnott,Kansas State,75.875,250,9.5,32.375,77.5,TE
Brevyn Spann-Ford,Minnesota,78.5,260,10.25,33.375,80,TE
Cade Stover,Ohio State,75.875,247,9.75,32.75,77.25,TE
Jack Westover,Washington,74.625,243,9.125,32.125,77.125,TE
Jared Wiley,TCU,78.125,249,9.5,33.25,79.25,TE
Joe Alt,Notre Dame,80.625,321,10,34.25,82.75,OL
Kiran Amegadjie,Yale,77.375,323,9.625,36.125,85.5,OL
Andrew Coker,TCU,78.875,315,9.5,34,81,OL
Frank Crum,Wyoming,80.25,313,10.5,33.875,82,OL
Anim Dankwah,Howard,79.75,353,9.75,35.125,85.5,OL
Ethan Driskell,Marshall,80.375,313,10.5,35.375,83.5,OL
Josiah Ezirim,Eastern Kentucky,77.75,329,10.75,35.75,85.125,OL
Olumuyiwa Fashanu,Penn State,78,312,8.5,34,82.625,OL
Troy Fautanu,Washington,75.75,317,9.5,34.5,81.5,OL
