#,Name,Height,Weight,Arm,Hand,Vertical,Broad,Position_Group,Converted_Height,Converted_Arm,Converted_Hand,Converted_Vertical,Converted_Broad
LB,"McKinzy, Cassanova",6010,248,31 1/4,9 7/8,NA,NA,LB,73,,,NA,NA
LB,"Morrison, Antonio",NA,NA,NA,NA,NA,NA,LB,NA,,,NA,NA
LB,"Norris, Jared",6012,241,31 1/2,10 1/8,"29.5""","9'6""",LB,73.25,,,29.5,114
LB,"Overton, Montese",6016,223,32 3/4,9 1/2,"34""","10'3""",LB,73.75,,,34,123
LB,"Paul, Gionni",5101,231,31,8 1/8,"31""","9'5""",LB,70.125,,,31,113
LB,"Perry, Joshua",6036,254,33 7/8,10 1/4,"33.5""","10'4""",LB,75.75,,,33.5,124
LB,"Ragland, Reggie",6012,247,32,9 7/8,"31.5""","9'8""",LB,73.25,,,31.5,116
LB,"Schobert, Joe",6013,244,31 1/2,9 3/4,"33.5""","9'3""",LB,73.375,,,33.5,111
LB,"Smith, Jaylon",6020,223,33,9 1/2,NA,NA,LB,74,,,NA,NA
LB,"Smith, Terrance",6027,235,32 3/4,9 7/8,"34.5""",10',LB,74.875,,,34.5,120
LB,"Striker, Eric",5113,227,31 1/4,10 1/8,"30""","9'8""",LB,71.375,,,30,116
LB,"Vigil, Nick",6023,239,32 3/8,10 1/4,"31.5""","9'7""",LB,74.375,,,31.5,115
LB,"Weatherly, Stephen",6043,267,34 1/2,10 1/4,"31""","9'9""",LB,76.375,,,31,117
LB,"Wright, Scooby",5116,239,30 1/2,9 3/4,"31""","9'5""",LB,71.75,,,31,113
DB,"Alexander, MacKensie",5103,190,31 3/8,9 1/8,NA,NA,DB,70.375,,,NA,NA
DB,"Apple, Eli",6005,199,31 3/8,9 3/8,NA,NA,DB,72.625,,,NA,NA
DB,"Bell, Vonn",5106,199,32 3/8,9 1/2,NA,NA,DB,70.75,,,NA,NA
DB,"Boddy-Calhoun, Briean",5094,193,31,9 1/8,"35""","10'4""",DB,69.5,,,35,124
DB,"Bradberry, James",6006,211,33 3/8,9 1/8,"36""","10'4""",DB,72.75,,,36,124
DB,"Brown, Anthony",5112,192,31 3/4,8 1/4,"35""","9'7""",DB,71.25,,,35,115
DB,"Brutus, Lamarcus",5115,206,31 1/2,8 3/4,"33""","9'6""",DB,71.625,,,33,114
DB,"Burns, Artie",5117,193,33 1/4,9 1/2,"31.5""",NA,DB,71.875,,,31.5,NA
