Position.x,Name,Weight.x,Converted_Height,Converted_Arm,Converted_Hand,Converted_Vertical,Converted_Broad,Source_File,Link,Height,Weight.y,Dash40,Shuttle20,Vertical,Position.y,SPARQ,Power_Throw
LB,Raphael Kirby,236,72.25,31,9.875,NA,NA,50,https://www.espn.com/college-sports/football/recruiting/player/_/id/110612/raphael-kirby,73,215,4.66,4.5,38.7,ol,NA,NA
LB,Darron Lee,232,72.75,33.25,9.75,35.5,133,86,https://www.espn.com/college-sports/football/recruiting/player/_/id/135995/darron-lee,74,205,4.68,4.53,34.6,s_,NA,NA
LB,Steve Longa,241,72.625,32,9.75,32.5,116,2,https://www.espn.com/college-sports/football/recruiting/player/_/id/135144/steve-longa,72,210,4.73,4.37,34.2,at,NA,NA
LB,Blake Martinez,237,73.625,31.625,10.875,28.5,113,36,https://www.espn.com/college-sports/football/recruiting/player/_/id/129446/blake-martinez,73,242,5.1,NA,23.5,il,NA,NA
LB,Cassanova McKinzy,248,73,31.25,9.875,NA,NA,50,https://www.espn.com/college-sports/football/recruiting/player/_/id/110603/cassanova-mckinzy,74,225,4.65,4.31,26.5,ol,NA,NA
LB,Gionni Paul,231,70.125,31,8.125,31,113,49,https://www.espn.com/college-sports/football/recruiting/player/_/id/85217/gionni-paul,72,222,4.48,4.47,38.9,ol,NA,NA
LB,Joshua Perry,254,75.75,33.875,10.25,33.5,124,89,https://www.espn.com/college-sports/football/recruiting/player/_/id/195375/joshua-perry,75,184,4.75,4.27,37.1,s_,NA,NA
LB,Reggie Ragland,247,73.25,32,9.875,31.5,116,36,https://www.espn.com/college-sports/football/recruiting/player/_/id/103716/reggie-ragland,75,245,4.66,4.36,34.6,il,NA,NA
LB,Jaylon Smith,223,74,33,9.5,NA,NA,51,https://www.espn.com/college-sports/football/recruiting/player/_/id/141518/jaylon-smith,75,212,4.59,4.41,32.6,ol,NA,NA
LB,Stephen Weatherly,267,76.375,34.5,10.25,31,117,22,https://www.espn.com/college-sports/football/recruiting/player/_/id/110615/stephen-weatherly,76,195,4.72,4.31,31.3,dl,NA,NA
DB,Eli Apple,199,72.625,31.375,9.375,NA,NA,10,https://www.espn.com/college-sports/football/recruiting/player/_/id/123738/eli-apple,72,185,4.63,4.26,32.2,cb,93.6,NA
DB,Anthony Brown,192,71.25,31.75,8.25,35,115,68,https://www.espn.com/college-sports/football/recruiting/player/_/id/206039/anthony-brown,73,194,4.84,4.33,32.8,qb,NA,NA
DB,Artie Burns,193,71.875,33.25,9.5,31.5,NA,10,https://www.espn.com/college-sports/football/recruiting/player/_/id/145083/artie-burns,72,183,4.5,4.32,33.7,cb,99.99,NA
DB,Deon Bush,199,72.375,30.875,9.25,36,123,85,https://www.espn.com/college-sports/football/recruiting/player/_/id/119694/deon-bush,73,177,4.44,4.21,40.2,s_,NA,NA
DB,Jeremy Cash,212,72.375,32.375,10.5,NA,NA,84,https://www.espn.com/college-sports/football/recruiting/player/_/id/101901/jeremy-cash,73,185,4.52,4.44,35.6,s_,NA,NA
DB,De'Vante Harris,176,70.625,30.625,8.125,38.5,124,9,https://www.espn.com/college-sports/football/recruiting/player/_/id/93638/devante-harris,70,160,4.44,3.93,38,cb,NA,NA
DB,Cyrus Jones,197,69.875,31.375,9.125,33,116,2,https://www.espn.com/college-sports/football/recruiting/player/_/id/113749/cyrus-jones,71,185,4.46,4.13,32.5,at,NA,NA
DB,Keanu Neal,211,72.5,32.75,10.625,38,132,86,https://www.espn.com/college-sports/football/recruiting/player/_/id/138986/keanu-neal,73,203,4.59,4.12,36.9,s_,NA,NA
DB,Jalen Ramsey,209,73.25,33.375,9.5,41.5,135,10,https://www.espn.com/college-sports/football/recruiting/player/_/id/125030/jalen-ramsey,72,190,4.54,4.04,40.9,cb,130.32,NA
DB,Rashard Robinson,171,73.5,32.25,9,35.5,121,3,https://www.espn.com/college-sports/football/recruiting/player/_/id/152286/rashard-robinson,74,161,4.59,4.43,33.5,at,80.19,NA
DB,Zack Sanchez,185,70.875,31.375,9.375,35.5,116,9,https://www.espn.com/college-sports/football/recruiting/player/_/id/107632/zack-sanchez,72,165,4.63,4.03,32.5,cb,NA,NA
DB,Elijah Shumate,216,71.75,31.125,9.75,33,119,85,https://www.espn.com/college-sports/football/recruiting/player/_/id/117348/elijah-shumate,72,205,4.52,4.41,28.5,s_,NA,NA
DB,D.J. White,193,70.875,31.5,9.25,33,132,9,https://www.espn.com/college-sports/football/recruiting/player/_/id/123814/dj-white,71,175,4.49,4.35,35.2,cb,NA,NA
DB,Tavon Young,183,69.125,30.625,9.125,34.5,118,9,https://www.espn.com/college-sports/football/recruiting/player/_/id/113804/tavon-young,69,155,4.71,4.3,28.5,cb,NA,NA
QB,Joshua Dobbs,216,75.375,32.625,9.25,33,122,65,https://www.espn.com/college-sports/football/recruiting/player/_/id/146492/joshua-dobbs,75,190,4.94,NA,29,qb,NA,NA
QB,Seth Russell,213,75,32.25,9.625,NA,NA,64,https://www.espn.com/college-sports/football/recruiting/player/_/id/110560/seth-russell,75,195,4.62,4.06,36.6,qb,NA,NA
QB,Seth Russell,213,75,32.25,9.625,NA,NA,71,https://www.espn.com/college-sports/football/recruiting/player/_/id/110560/seth-russell,75,195,4.62,4.06,36.6,qb,NA,NA
QB,Deshaun Watson,221,74.5,33,9.75,32.5,119,66,https://www.espn.com/college-sports/football/recruiting/player/_/id/138829/deshaun-watson,75,190,4.89,4.24,34.2,qb,NA,NA
RB,Dalvin Cook,210,70.375,32.375,9.25,30.5,116,80,https://www.espn.com/college-sports/football/recruiting/player/_/id/162925/dalvin-cook,71,196,4.46,4.18,30.9,rb,NA,NA
RB,Justin Davis,208,73,31,9.625,NA,NA,79,https://www.espn.com/college-sports/football/recruiting/player/_/id/120630/justin-davis,73,199,4.71,4.12,37.3,rb,NA,NA
RB,Leonard Fournette,240,72.5,31.625,9.25,28.5,NA,80,https://www.espn.com/college-sports/football/recruiting/player/_/id/168066/leonard-fournette,73,226,NA,4.3,29.9,rb,NA,NA
RB,Wayne Gallman,215,72.5,32.625,9.125,29.5,120,3,https://www.espn.com/college-sports/football/recruiting/player/_/id/134664/wayne-gallman,73,200,4.85,4.57,30.1,at,NA,NA
RB,Elijah Hood,232,72,30.375,9.375,NA,NA,80,https://www.espn.com/college-sports/football/recruiting/player/_/id/161267/elijah-hood,72,221,4.48,4.2,37,rb,NA,NA
RB,Alvin Kamara,214,70.25,32.75,9.25,39.5,131,79,https://www.espn.com/college-sports/football/recruiting/player/_/id/143751/alvin-kamara,70,192,4.55,4.28,39.1,rb,NA,NA
RB,Marlon Mack,213,71.375,32,9,35.5,125,80,https://www.espn.com/college-sports/football/recruiting/player/_/id/152328/marlon-mack,71,192,4.6,4.59,32.9,rb,NA,NA
WO,Rodney Adams,189,73.25,32,9,29.5,125,104,https://www.espn.com/college-sports/football/recruiting/player/_/id/120550/rodney-adams,73,166,4.68,4.5,31.1,wr,NA,NA
WO,Noah Brown,222,74,31.75,9.125,NA,NA,4,https://www.espn.com/college-sports/football/recruiting/player/_/id/169895/noah-brown,74,215,NA,NA,25.3,at,NA,39
